Time,TFS-EE-226-BU-1_SUC-P.PV,TFS-EE-226-BU-2_SUC-P.PV,TFS-EE-226-BU-1_DISCH-P.PV,TFS-EE-226-BU-2_DISCH-P.PV,TFS-EE-176-MB_FC-HDR-DEN-OBS.PV,TFS-EE-176-MB_FC2-HDR-T.PV,TFS-EE-176-MB_FC2-HDR-GSF.PV,TFS-EE-176-MTR_OUT-P.PV,MLN-EE-76-U-1_SUC-P.PV,MLN-EE-76-U-2_SUC-P.PV,MLN-EE-76-U-1_CAS-P.PV,MLN-EE-76-U-2_CAS-P.PV,MLN-EE-76_DISCH-P.SP,MLN-EE-76_DISCH-P-CTRL.PV,MLN-EE-76_T.PV,MLN-EE-76_FLW.PV,TFS-EE-176-MB_FC-HDR-DEN-COR.PV,TFS-EE-176-MB_FC-HDR-T.PV,MLN-IZ-76_HLD-P.SP,MLN-IZ-76_HLD-P-CTRL.PV,MLN-EE-76-PCV_POS.PV,TFS-EE-209-V-1523_VLV.ST
2022-08-30 00:00:17,58.40347672,58.46703339,59.20205688,662.1245117,689.0,11.74670506,103,638.3187866,-6.166686058,620.3684692,-16.84211731,7097.869141,3000,2993.089355,16.76523781,103.4407196,686.5040894,11.76167107,1250,1252.544067,28.62551689,CLOSED
2022-08-30 00:00:18,58.40164948,58.46453857,59.2005043,662.1641235,689.0,11.74649525,103,638.229248,-6.167453289,620.2940674,-16.86714554,7097.538574,3000,2993.00415,16.76514244,103.4600372,686.5085449,11.76185894,1250,1252.5625,28.62990761,CLOSED
2022-08-30 00:00:19,58.40184784,58.46204376,59.22351456,662.1987305,689.0,11.74628448,103,638.2704468,-6.169922829,620.1431274,-16.89217567,7097.301758,3000,2992.908936,16.76483345,103.5017166,686.5123901,11.76204777,1250,1252.581055,28.64146996,CLOSED
2022-08-30 00:00:20,58.4212265,58.45954514,59.258358,662.1852417,689.0,11.74607372,103,638.374939,-6.172391891,619.9921265,-16.9172039,7097.06543,3000,2992.813477,16.76452446,103.543396,686.5158691,11.7622366,1250,1252.609131,28.6530323,CLOSED
2022-08-30 00:00:21,58.44060898,58.45705032,59.29320145,662.1717529,689.0,11.74586296,103,638.4794922,-6.174861431,620.0671387,-16.94223213,7098.439453,3000,2992.597656,16.76421738,103.5144348,686.5193481,11.76242542,1250,1252.657837,28.66459465,CLOSED
2022-08-30 00:00:22,58.45998764,58.45455551,59.32804871,662.1582642,689.0,11.7456522,103,638.5840454,-6.177330971,620.1251831,-16.91897202,7097.514648,3000,2992.307861,16.76390839,103.5009995,686.5228882,11.7626133,1250,1252.706543,28.66393661,CLOSED
2022-08-30 00:00:23,58.4793663,58.4520607,59.36289215,662.1447754,689.0,11.74544144,103,638.6885376,-6.17980051,620.1303711,-16.86764336,7094.948242,3000,2991.997803,16.7635994,103.5100479,686.5263672,11.76280212,1250,1252.755249,28.65618324,CLOSED
2022-08-30 00:00:24,58.49874496,58.44956589,59.39773941,662.1312866,689.0,11.74523163,103,638.7930908,-6.182269573,620.135498,-16.8163147,7092.382324,3000,2991.687744,16.76329041,103.5190887,686.5298462,11.76299095,1250,1252.803833,28.64842987,CLOSED
2022-08-30 00:00:25,58.50186539,58.44707108,59.37881851,662.1177979,689.0,11.74502087,103,638.7788086,-6.184739113,620.140686,-16.76498604,7089.815918,3000,2991.377441,16.76298141,103.5281372,686.5214233,11.76317978,1250,1252.876587,28.6406765,CLOSED
2022-08-30 00:00:26,58.50386429,58.44457626,59.35616302,662.1043091,689.0,11.7448101,103,638.7561646,-6.187208652,620.1437378,-16.71599388,7087.341309,3000,2991.07959,16.76267433,103.5346375,686.5123901,11.76336765,1250,1252.982666,28.63281822,CLOSED
2022-08-30 00:00:27,58.50585938,58.44207764,59.33351135,662.0908203,689.0,11.74459934,103,638.7335205,-6.18912077,620.0373535,-16.78201675,7089.470703,3000,2991.369873,16.76223946,103.4275589,686.5033569,11.76355648,1250,1253.088745,28.62178802,CLOSED
2022-08-30 00:00:28,58.50785828,58.43958282,59.31085587,662.0773315,689.0,11.74438858,103,638.7108765,-6.185990334,619.9309692,-16.84803772,7092.223145,3000,2991.477295,16.76067352,103.4181824,686.4943237,11.76374531,1250,1253.194824,28.62804222,CLOSED
2022-08-30 00:00:29,58.50985336,58.43708801,59.30511093,662.0638428,689.0,11.74417877,103,638.6796875,-6.182859898,619.8245239,-16.91406059,7094.975586,3000,2991.584473,16.75910759,103.4087982,686.4909668,11.76393414,1250,1253.300903,28.63429832,CLOSED
2022-08-30 00:00:30,58.51184845,58.4345932,59.31492233,662.050354,689.0,11.74396801,103,638.640686,-6.179729462,619.8060913,-16.93067551,7096.015625,3000,2991.620117,16.75754166,103.4042053,686.4929199,11.76412201,1250,1253.334229,28.63638878,CLOSED
2022-08-30 00:00:31,58.51384735,58.43209839,59.32473755,662.0368652,689.0,11.74375725,103,638.6016846,-6.176599026,619.9024048,-16.8828392,7094.819336,3000,2991.5625,16.75597572,103.4058914,686.494812,11.76431084,1250,1253.286987,28.63301468,CLOSED
2022-08-30 00:00:32,58.51584244,58.42960358,59.33454895,662.0233765,689.0,11.74354649,103,638.5626831,-6.17346859,619.9987183,-16.83500481,7093.623535,3000,2991.504639,16.75440979,103.4075775,686.4967041,11.76449966,1250,1253.239868,28.62964249,CLOSED
2022-08-30 00:00:33,58.51783752,58.42710876,59.34436417,662.0098877,689.0,11.74333572,103,638.5236816,-6.170338631,620.0950317,-16.7871685,7092.427246,3000,2991.446777,16.75284386,103.4092636,686.4985962,11.76468849,1250,1253.192749,28.62626839,CLOSED
2022-08-30 00:00:34,58.51983643,58.42461395,59.35417557,662.0108643,689.0,11.74312592,103,638.4846802,-6.167208195,620.1913452,-16.7393322,7091.231445,3000,2991.388916,16.75127792,103.4109497,686.4994507,11.76487637,1250,1253.145508,28.62289619,CLOSED
2022-08-30 00:00:35,58.52183151,58.42211533,59.36399078,662.0513916,689.0,11.74291515,103,638.4456787,-6.167880535,620.1003418,-16.77568436,7090.066406,3000,2991.396484,16.75123215,103.4333344,686.4974976,11.76506519,1250,1253.125977,28.62239265,CLOSED
2022-08-30 00:00:36,58.5238266,58.41962051,59.37380219,662.0918579,689.0,11.74270439,103,638.4066772,-6.172622204,619.8088989,-16.90156364,7088.934082,3000,2991.473389,16.75281525,103.4777069,686.4954834,11.76525402,1250,1253.144653,28.62493706,CLOSED
2022-08-30 00:00:37,58.5258255,58.4171257,59.3836174,662.1323853,689.0,11.74249363,103,638.3676758,-6.177363873,619.7695923,-16.95840263,7090.128906,3000,2991.550537,16.75377083,103.4534912,686.4935303,11.76544285,1250,1253.163452,28.62748146,CLOSED
2022-08-30 00:00:38,58.52782059,58.41463089,59.3934288,662.1728516,689.0,11.74228287,103,638.3286743,-6.182105541,619.8971558,-16.969944,7092.851074,3000,2991.627686,16.75430679,103.3843231,686.4915771,11.76563072,1250,1253.182129,28.63002777,CLOSED
2022-08-30 00:00:39,58.52981567,58.41213608,59.39363861,662.1873169,689.0,11.74207306,103,638.2896729,-6.18684721,620.0247192,-16.98148727,7095.57373,3000,2991.70459,16.75484467,103.3151474,686.489563,11.76581955,1250,1253.200806,28.63257217,CLOSED
2022-08-30 00:00:40,58.53181458,58.40964127,59.37438202,662.1488037,689.0,11.7418623,103,638.2506714,-6.191589355,620.1522827,-16.99302864,7098.295898,3000,2991.781738,16.75538254,103.2459793,686.4876099,11.76600838,1250,1253.273926,28.63511658,CLOSED
2022-08-30 00:00:41,58.53380966,58.40714645,59.35512543,662.1102905,689.0,11.74165154,103,638.2116699,-6.196331024,620.2949829,-17.00457191,7097.759277,3000,2991.858887,16.75592041,103.1766891,686.4856567,11.7661972,1250,1253.455688,28.64686966,CLOSED
2022-08-30 00:00:42,58.53580856,58.40464783,59.33586884,662.0717773,689.0,11.74144077,103,638.1726685,-6.201072693,620.4273071,-17.01611328,7096.802734,3000,2991.918945,16.75639725,103.111969,686.4836426,11.76638508,1250,1253.508789,28.65845871,CLOSED
